2020-02-19/16:26:58		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:07		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:08		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:09		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:10		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:11		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:12		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:13		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:13		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:13		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:13		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:13		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:13		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:13		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:13		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:13		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:13		 cement_strength_08012020_120021.csv: File loaded successfully!!
2020-02-19/16:27:13		 cement_strength_08012020_120021.csv: File loaded successfully!!
